,0,1,2,3,4,5,6,7,8
0,0.1,0.3,4,-0.5996263722127679,-1.0883119710745541,-0.8257937259146668,13.514586350856382,15.774822902658247,14.644704626757315
1,0.1,0.3,5,-0.6595131134829348,-1.0576889117919914,-0.8608696802400062,12.680232650985783,16.679923118963657,14.680077884974718
2,0.1,0.3,6,-0.6276585181630403,-1.163036322794618,-0.8915423804914064,12.679059033099133,17.15517257343561,14.917115803267372
3,0.1,0.4,4,-0.6248274819229511,-1.0131280987256397,-0.8228644912221297,12.50600947016813,16.654935696240393,14.58047258320426
4,0.1,0.4,5,-0.7326726392247924,-1.1354582541845062,-0.9283144538878989,13.714895204964677,17.003065860029714,15.358980532497196
5,0.1,0.4,6,-0.6334646826417989,-1.0322169237592917,-0.831186986497298,13.359042955382732,17.226227259093786,15.292635107238254
6,0.1,0.5,4,-0.5379911221450322,-1.0161778618911836,-0.771396061313518,12.41501894465419,16.281074334061444,14.348046639357817
7,0.1,0.5,5,-0.5797858943092553,-1.0971675004333852,-0.8279782506562887,13.375348665570765,17.214960083586227,15.295154374578498
8,0.1,0.5,6,-0.655599727493944,-1.0395939660293356,-0.8540006997771217,12.98118278664615,17.766903615470337,15.37404320105824
9,0.1,0.6,4,-0.5992313684708401,-1.2714647246388657,-0.9206465839848048,12.417099615449182,16.97598161559031,14.696540615519746
10,0.1,0.6,5,-0.6825156261228209,-1.1689459137963651,-0.918643406079801,13.429086513239339,16.985797568826136,15.207442041032737
11,0.1,0.6,6,-0.7176995166000777,-1.1296707636474124,-0.9256040165908854,12.4424884404754,16.462779857635905,14.45263414905565
12,0.2,0.3,4,-0.5768843835743156,-1.1863457947862583,-0.86761235960399,12.085795300824838,16.046371283454903,14.06608329213987
13,0.2,0.3,5,-0.5831399422844528,-1.1110284400345791,-0.8343179118767463,13.542075664086537,17.357190843093854,15.449633253590196
14,0.2,0.3,6,-0.5219395096049015,-1.0943763474529415,-0.790869764327176,12.961999530542009,16.04754653978539,14.504773035163701
15,0.2,0.4,4,-0.5448827333292059,-1.2584301249260692,-0.8610386787499391,13.433349519734112,16.609868158914043,15.021608839324076
16,0.2,0.4,5,-0.6241899377598616,-1.0518787021008387,-0.8307328131658347,13.143672006584806,16.04205882260921,14.592865414597009
17,0.2,0.4,6,-0.6381212809861296,-1.0752187235662625,-0.852373149503656,13.642198041361974,17.18392015431074,15.413059097836356
18,0.2,0.5,4,-0.617037921614694,-1.0506350337177395,-0.8352738031894724,12.893311582497386,17.40117035862566,15.14724097056152
19,0.2,0.5,5,-0.6106243507281797,-0.9972746307560538,-0.7990678431772795,13.097434034579289,16.196964556367664,14.647199295473477
20,0.2,0.5,6,-0.7014559669472111,-1.1467438298168129,-0.9261587014931998,13.276936819439891,17.371406874531242,15.32417184698557
21,0.2,0.6,4,-0.6272632019347719,-1.054180248914515,-0.8407054209154885,12.496139009861373,16.646954899701026,14.5715469547812
22,0.2,0.6,5,-0.5526796672315264,-1.2301386607595841,-0.854026781029714,13.190243569244386,16.208684398458328,14.699463983851357
23,0.2,0.6,6,-0.5141595414665678,-1.0648389635733309,-0.7798164370380738,12.886706716519955,16.88681369182366,14.886760204171805
24,0.3,0.3,4,-0.5588919350962718,-0.9795068866550825,-0.7692576946929885,12.562519811989057,16.925995613475088,14.744257712732072
25,0.3,0.3,5,-0.6239026461554185,-1.0180909012588448,-0.8266298355702675,12.730769629839847,17.655277945287835,15.19302378756384
26,0.3,0.3,6,-0.6045551850775475,-1.1846091684929205,-0.8808804974984918,12.58127741978415,16.27581918777847,14.42854830378131
27,0.3,0.4,4,-0.5371883544762224,-0.9460441236324295,-0.74287205077245,12.68640443707249,16.833860088473003,14.760132262772748
28,0.3,0.4,5,-0.5217823982596046,-1.10121950155441,-0.7980165568917139,13.068898431729497,17.364808879143613,15.216853655436557
29,0.3,0.4,6,-0.6769630357914838,-1.0302275729716013,-0.8543867557899991,12.93737848952823,16.459492053734166,14.6984352716312
30,0.3,0.5,4,-0.5435288011846606,-1.0212549547929957,-0.7727040610759459,12.761324433829138,16.144507552441137,14.45291599313514
31,0.3,0.5,5,-0.5765056515699425,-1.1005657728228302,-0.8363513302127008,12.357919409096432,17.171067725290726,14.764493567193576
32,0.3,0.5,6,-0.6090121642581117,-0.9764192876730815,-0.7939611089728629,12.946754866941019,16.76143121959308,14.854093043267051
33,0.3,0.6,4,-0.5941479777522232,-1.107537018170722,-0.8404112482261838,12.832865184338534,16.180076695992202,14.50647094016537
34,0.3,0.6,5,-0.6337255402679915,-1.188008634122184,-0.8913843789021203,13.402014973362911,16.20900156721316,14.805508270288033
35,0.3,0.6,6,-0.6775612672048117,-1.1579105610448464,-0.9052403042347474,13.355549597078145,15.901621555134968,14.628585576106557
36,0.4,0.3,4,-0.5774210987360997,-0.9585818345228823,-0.767362528964046,12.922376426636987,17.124755250153477,15.02356583839523
37,0.4,0.3,5,-0.6086354295008978,-1.0628153998504972,-0.8254491764581051,13.360205699149624,16.61135872378209,14.985782211465857
38,0.4,0.3,6,-0.6691631863482361,-1.0710367124227247,-0.8745348534716528,12.812687127225553,17.163640406668673,14.988163766947112
39,0.4,0.4,4,-0.5502278681540378,-1.070133388646012,-0.798495409445857,13.155425146424095,16.477377589251713,14.816401367837903
40,0.4,0.4,5,-0.6081705488244475,-1.208974326773201,-0.8865745743888158,13.540953489413267,16.669491265548213,15.105222377480741
41,0.4,0.4,6,-0.6811343348863488,-1.092511114216654,-0.8846625654065883,13.442642881745366,16.75533806301144,15.098990472378402
42,0.4,0.5,4,-0.49321587322812066,-1.0013571684459284,-0.7394495712689937,12.786183526365557,16.87778968310405,14.831986604734801
43,0.4,0.5,5,-0.6408708028621581,-1.18245806145082,-0.9012516615591382,13.122314047242524,17.026139750649225,15.074226898945874
44,0.4,0.5,6,-0.6129288577924794,-1.1860155561918173,-0.8846251352252714,12.588898191129353,16.16505075616857,14.376974473648964
45,0.4,0.6,4,-0.6951132173299681,-1.0454819206110075,-0.8743643782299804,13.098278808032378,17.336630797507755,15.217454802770066
46,0.4,0.6,5,-0.6570777838188675,-0.9593482934967972,-0.8096367620535243,13.022119331755691,16.809129648859987,14.91562449030784
47,0.4,0.6,6,-0.6193623475160188,-1.121979901913893,-0.8684851180202697,12.667181631859206,17.1177172394017,14.892449435630454
